Minimum Input Sensitivity[dBm]
STD_WFM	Spec. [dBm]	CH1_2412 MHz [dBm]	CH2_2417 MHz [dBm]	CH3_2422 MHz [dBm]	CH4_2427 MHz [dBm]	CH5_2432 MHz [dBm]	CH6_2437 MHz [dBm]	CH7_2442 MHz [dBm]	CH8_2447 MHz [dBm]	CH9_2452 MHz [dBm]	CH10_2457 MHz [dBm]	CH11_2462 MHz [dBm]	CH12_2467 MHz [dBm]	CH13_2472 MHz [dBm]	CH14_2484 MHz [dBm]	PER [%]

[data]
11B_1M	-80.00	-95.60	-96.00	-95.45	-96.00	-93.05	-95.55	-94.15	-96.90	-96.35	-96.00	-96.85	-96.00	-97.40	-96.60	6.80	6.60	4.20	6.60	7.40	6.20	0.40	7.80	4.20	2.20	7.40	1.80	7.60	6.60
11B_11M	-76.00	-83.55	-84.55	-84.85	-80.35	-86.05	0.00	0.00	-78.75	-83.85	-86.00	-85.05	-85.60	-85.00	-84.80	7.20	4.20	5.80	7.20	7.20	NaN	NaN	6.20	6.60	5.20	6.00	7.20	6.00	7.80
11G_6M	-82.00	-89.40	-89.80	-90.00	-90.30	-90.30	-90.35	-90.05	-89.95	-90.65	-90.80	-90.85	-90.85	-90.50	-89.15	8.00	9.80	9.40	6.00	8.60	7.60	9.80	7.80	9.80	8.60	9.80	8.80	9.80	9.20
11G_54M	-65.00	-73.15	-73.50	-73.80	-73.90	-73.95	-74.00	-73.85	-74.10	-74.05	-74.55	-74.65	-74.60	-74.25	-74.15	7.00	9.20	9.60	6.60	8.80	8.40	7.80	9.40	9.40	9.20	9.00	8.40	9.40	7.60
11N_MCS0_LGI	-82.00	-88.95	-89.45	-89.55	-90.00	-90.00	-90.10	-89.90	-89.90	-90.30	-90.40	-90.65	-90.35	-90.20	-88.70	8.80	7.60	9.40	9.20	9.60	6.80	8.40	9.20	9.00	9.40	9.20	7.40	9.40	9.80
11N_MCS7_LGI	-64.00	-69.30	-69.70	-70.05	-70.00	-70.20	-69.70	-70.20	-70.35	-70.45	-70.80	-71.00	-70.80	-70.15	-69.75	7.60	9.00	8.80	7.40	9.00	9.80	8.40	8.00	8.60	8.20	9.40	8.00	7.60	8.60
11AX_MCS0_LGI	-82.00	-88.55	-89.05	-89.00	-89.60	-89.35	-89.65	-89.80	-89.30	-89.60	-89.80	-89.90	-90.00	-89.75	-87.90	9.60	9.80	9.00	9.20	8.80	9.80	9.60	9.60	9.00	9.80	8.40	7.60	8.60	8.80
11AX_MCS7_LGI	-64.00	-69.65	-69.15	-68.80	-67.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	9.40	8.40	9.60	9.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11AX_MCS8_LGI	-59.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
11AX_MCS9_LGI	-57.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
