Waterfall Test
Input [dBm]	11B_1M	11B_11M	11G_6M	11G_54M	11N_MCS0_LGI	11N_MCS7_LGI	11AX_MCS0_LGI	11AX_MCS7_LGI	11AX_MCS8_LGI	11AX_MCS9_LGI

[data]
-100	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-99	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-98	94.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-97	53.40	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-96	5.80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-95	0.60	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-94	0.80	100.00	94.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-93	0.20	100.00	64.00	100.00	95.60	100.00	99.60	100.00	100.00	100.00
-92	0.20	100.00	32.20	100.00	53.20	100.00	79.20	100.00	100.00	100.00
-91	0.00	100.00	12.80	100.00	20.00	100.00	36.80	100.00	100.00	100.00
-90	0.00	100.00	4.60	100.00	7.20	100.00	12.20	100.00	100.00	100.00
-89	0.00	99.40	0.80	100.00	2.00	100.00	4.60	100.00	100.00	100.00
-88	0.00	86.40	0.20	100.00	0.20	100.00	0.60	100.00	100.00	100.00
-87	0.00	52.00	0.00	100.00	0.00	100.00	0.40	100.00	100.00	100.00
-86	0.00	21.60	0.00	100.00	0.40	100.00	0.00	100.00	100.00	100.00
-85	0.00	8.20	0.00	100.00	0.20	100.00	0.00	100.00	100.00	100.00
-84	0.00	4.00	0.00	100.00	0.20	100.00	0.00	100.00	100.00	100.00
-83	0.00	1.00	0.00	100.00	0.20	100.00	0.00	100.00	100.00	100.00
-82	0.00	0.40	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-81	0.00	0.20	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-80	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-79	0.00	0.00	0.20	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-78	0.00	0.00	0.20	100.00	0.40	100.00	0.00	100.00	100.00	100.00
-77	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-76	0.00	0.00	0.00	93.40	0.00	100.00	0.00	100.00	100.00	100.00
-75	0.00	0.00	0.00	48.20	0.00	100.00	0.00	100.00	100.00	100.00
-74	0.00	0.00	0.00	11.60	0.00	100.00	0.00	100.00	100.00	100.00
-73	0.00	0.00	0.00	1.40	0.00	99.40	0.00	100.00	100.00	100.00
-72	0.00	0.00	0.00	0.20	0.00	77.40	0.00	100.00	100.00	100.00
-71	0.00	0.00	0.00	0.00	0.00	34.00	0.00	100.00	100.00	100.00
-70	0.00	0.00	0.00	0.00	0.00	9.60	0.00	98.20	100.00	100.00
-69	0.00	0.00	0.00	0.00	0.00	1.60	0.00	98.20	100.00	100.00
-68	0.00	0.00	0.00	0.00	0.00	0.20	0.00	94.60	100.00	100.00
-67	0.00	0.00	0.00	0.00	0.00	0.20	0.00	94.00	100.00	100.00
-66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	92.20	100.00	100.00
-65	0.00	0.00	11.40	6.20	0.80	0.80	26.80	90.00	99.80	100.00
-64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.60	94.60	100.00
-63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	80.80	87.40	100.00
-62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	77.60	81.40	100.00
-61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	78.80	74.00	100.00
-60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	80.20	68.40	100.00
-59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.00	64.20	100.00
-58	0.00	0.00	0.00	0.00	0.00	0.20	0.00	81.60	58.40	100.00
-57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	76.00	50.40	100.00
-56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	78.80	50.20	100.00
-55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.40	48.20	100.00
-54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.60	40.40	100.00
-53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.40	39.80	100.00
-52	0.00	0.00	0.00	0.00	0.00	0.00	0.20	68.00	34.60	100.00
-51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70.80	36.80	100.00
-50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	76.20	42.40	100.00
-49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	77.00	45.00	100.00
-48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	76.20	41.00	100.00
-47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00	43.00	100.00
-46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.20	41.40	100.00
-45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.20	45.20	100.00
-44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.80	43.20	100.00
-43	0.00	0.00	0.00	0.00	0.20	0.00	0.00	78.20	46.40	100.00
-42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	81.40	43.00	100.00
-41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	83.20	40.80	100.00
-40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.40	44.20	100.00
-39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	80.80	47.20	100.00
-38	0.00	0.00	0.00	0.00	0.00	0.20	0.00	76.00	46.60	100.00
-37	0.00	0.00	0.00	0.00	0.40	0.20	0.00	80.00	49.80	100.00
-36	0.00	0.00	0.00	0.00	0.00	0.20	0.00	77.80	41.80	100.00
-35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	77.20	36.60	100.00
-34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	78.00	41.60	100.00
-33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.00	41.20	100.00
-32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70.80	41.00	100.00
-31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70.80	37.20	100.00
-30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.00	37.40	100.00
-29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	70.20	36.60	100.00
-28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	69.00	35.20	100.00
-27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.40	38.60	100.00
-26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.40	48.40	100.00
-25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.60	40.00	100.00
-24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	62.20	34.20	100.00
-23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.20	34.20	100.00
-22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	63.40	33.40	100.00
-21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	73.80	39.60	100.00
-20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.20	41.80	100.00
-19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	75.40	49.60	100.00
-18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.80	51.40	100.00
-17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.80	47.00	100.00
-16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	72.60	46.00	100.00
-15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	68.80	41.80	100.00
-14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	68.00	39.20	100.00
-13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	68.20	36.00	100.00
-12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.80	34.20	100.00
-11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.80	35.40	100.00
-10	0.00	0.00	0.00	0.00	0.00	0.00	0.20	58.80	33.80	100.00
-9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	65.00	33.40	100.00
-8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	63.60	38.20	100.00
-7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	60.60	37.40	100.00
-6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	66.80	38.20	100.00
-5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	71.00	53.80	100.00
-4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
