Waterfall Test
Input [dBm]	11B_1M	11B_11M	11G_6M	11G_54M	11N_MCS0_LGI	11N_MCS7_LGI	11AX_MCS0_LGI	11AX_MCS7_LGI	11AX_MCS8_LGI	11AX_MCS9_LGI

[data]
-100	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-99	99.60	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-98	82.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-97	20.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-96	3.20	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-95	0.80	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-94	0.00	100.00	99.60	100.00	100.00	100.00	100.00	100.00	100.00	100.00
-93	1.20	100.00	94.20	100.00	98.00	100.00	100.00	100.00	100.00	100.00
-92	0.00	100.00	71.40	100.00	83.20	100.00	94.00	100.00	100.00	100.00
-91	0.00	100.00	45.40	100.00	50.80	100.00	62.20	100.00	100.00	100.00
-90	0.20	100.00	30.60	100.00	30.60	100.00	40.40	100.00	100.00	100.00
-89	0.00	95.60	16.00	100.00	14.00	100.00	18.20	100.00	100.00	100.00
-88	0.00	62.40	12.20	100.00	8.20	100.00	10.40	100.00	100.00	100.00
-87	0.00	30.80	3.20	100.00	4.20	100.00	5.40	100.00	100.00	100.00
-86	0.00	9.80	1.20	100.00	1.40	100.00	1.60	100.00	100.00	100.00
-85	0.00	2.60	0.40	100.00	0.20	100.00	0.60	100.00	100.00	100.00
-84	0.00	0.60	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-83	0.00	0.60	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-82	0.00	0.00	0.00	100.00	0.00	100.00	0.20	100.00	100.00	100.00
-81	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-80	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-79	0.00	0.00	0.00	100.00	0.20	100.00	0.00	100.00	100.00	100.00
-78	0.00	0.00	0.00	100.00	0.00	100.00	0.00	100.00	100.00	100.00
-77	0.00	0.00	0.00	98.20	0.00	100.00	0.00	100.00	100.00	100.00
-76	0.00	0.00	0.00	53.80	0.00	100.00	0.00	100.00	100.00	100.00
-75	0.00	0.00	0.00	35.20	0.00	100.00	0.00	100.00	100.00	100.00
-74	0.00	0.00	0.00	10.00	0.00	100.00	0.00	100.00	100.00	100.00
-73	0.00	0.00	0.00	0.80	0.00	93.80	0.00	87.40	100.00	100.00
-72	0.00	0.00	0.00	0.40	0.00	57.20	0.00	34.20	100.00	100.00
-71	0.00	0.00	0.00	0.00	0.00	18.20	0.00	7.60	100.00	100.00
-70	0.00	0.00	0.00	0.00	0.00	4.00	0.00	1.20	100.00	100.00
-69	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.20	95.60	100.00
-68	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	48.40	100.00
-67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40	19.60	93.20
-66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.20	54.20
-65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.40	24.60
-64	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.60	3.20	8.60
-63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	3.40
-62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80
-61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-60	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40
-58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-51	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00
-50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00
-43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-41	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00
-23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-21	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20
-20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-17	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-16	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-9	0.00	0.00	0.00	0.00	0.20	0.20	0.00	0.00	0.00	0.00
-8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-7	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00
-6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
-5	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00
-4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
-1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	0.00	0.20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
3	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
4	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	0.00	0.00	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
